,Sentence,scores,compound,pos,neg,type
0,"The GeoSolutions technology will leverage Benefon 's GPS solutions by providing Location Based Search Technology , a Communities Platform , location relevant multimedia content and a new and powerful commercial model .","{'neg': 0.0, 'neu': 0.847, 'pos': 0.153, 'compound': 0.5423}",0.5423,0.153,0.0,POS
1,"$ESI on lows, down $1.50 to $2.50 BK a real possibility","{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.2023}",-0.2023,0.0,0.167,NEG
2,"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .","{'neg': 0.064, 'neu': 0.856, 'pos': 0.08, 'compound': 0.1531}",0.1531,0.08,0.064,POS
3,"According to the Finnish-Russian Chamber of Commerce , all the major construction companies of Finland are operating in Russia .","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL
4,"The Swedish buyout firm has sold its remaining 22.4 percent stake , almost eighteen months after taking the company public in Finland .","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL
5,$SPY wouldn't be surprised to see a green close,"{'neg': 0.192, 'neu': 0.808, 'pos': 0.0, 'compound': -0.1695}",-0.1695,0.0,0.192,NEG
6,Shell's $70 Billion BG Deal Meets Shareholder Skepticism,"{'neg': 0.222, 'neu': 0.778, 'pos': 0.0, 'compound': -0.25}",-0.25,0.0,0.222,NEG
7,"SSH COMMUNICATIONS SECURITY CORP STOCK EXCHANGE RELEASE OCTOBER 14 , 2008 AT 2:45 PM The Company updates its full year outlook and estimates its results to remain at loss for the full year .","{'neg': 0.065, 'neu': 0.847, 'pos': 0.088, 'compound': 0.2103}",0.2103,0.088,0.065,POS
8,Kone 's net sales rose by some 14 % year-on-year in the first nine months of 2008 .,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL
9,"The Stockmann department store will have a total floor space of over 8,000 square metres and Stockmann 's investment in the project will have a price tag of about EUR 12 million .","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL
10,Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008 .,"{'neg': 0.0, 'neu': 0.84, 'pos': 0.16, 'compound': 0.2732}",0.2732,0.16,0.0,POS
11,$SAP Q1 disappoints as #software licenses down. Real problem? #Cloud growth trails $MSFT $ORCL $GOOG $CRM $ADBE https://t.co/jNDphllzq5,"{'neg': 0.231, 'neu': 0.655, 'pos': 0.114, 'compound': -0.4019}",-0.4019,0.114,0.231,NEG
12,"The subdivision made sales revenues last year of EUR 480.7 million EUR 414.9 million in 2008 , and operating profits of EUR 44.5 million EUR 7.4 million .","{'neg': 0.0, 'neu': 0.896, 'pos': 0.104, 'compound': 0.4404}",0.4404,0.104,0.0,POS
13,Viking Line has canceled some services .,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL
14,"Ahlstrom Corporation STOCK EXCHANGE ANNOUNCEMENT 7.2.2007 at 10.30 A total of 56,955 new shares of Ahlstrom Corporation have been subscribed with option rights under the company 's stock option programs I 2001 and II 2001 .","{'neg': 0.0, 'neu': 0.936, 'pos': 0.064, 'compound': 0.296}",0.296,0.064,0.0,POS
15,$FB gone green on day,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL
16,$MSFT SQL Server revenue grew double-digit with SQL Server Premium revenue growing over 30% http://stks.co/ir2F,"{'neg': 0.0, 'neu': 0.892, 'pos': 0.108, 'compound': 0.1779}",0.1779,0.108,0.0,POS
17,"According to L+ñnnen Tehtaat 's CEO Matti Karppinen , the company aims to deliver fish products to its customers a day earlier than it currently does .","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL
18,The company 's share is quoted on NASDAQ OMX Helsinki Rautaruukki Oyj : RTRKS .,"{'neg': 0.0, 'neu': 0.845, 'pos': 0.155, 'compound': 0.296}",0.296,0.155,0.0,POS
19,Elcoteq SE is listed on the Nasdaq OMX Helsinki Ltd. .,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL
20,Two of these contracts are for turntable anode vibrocompactors that will be delivered to Gansu Hualu Aluminum Co Ltd and another unnamed costumer .,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL
21,"Aviva, Friends Life top forecasts ahead of 5.6 billion pound merger","{'neg': 0.0, 'neu': 0.647, 'pos': 0.353, 'compound': 0.5994}",0.5994,0.353,0.0,POS
22,"In stead of being based on a soft drink , as is usual , the Teho energy drink is made with fresh water .","{'neg': 0.0, 'neu': 0.804, 'pos': 0.196, 'compound': 0.5267}",0.5267,0.196,0.0,POS
23,The company plans to increase the unit 's specialist staff to several dozen -- depending on the market situation during 2010 .,"{'neg': 0.0, 'neu': 0.897, 'pos': 0.103, 'compound': 0.3182}",0.3182,0.103,0.0,POS
